ID,Publish Time,Published,Title,Updated At,Closing Time
5,2021-05-03T20:31:00,false,Senior Data Scientist,2021-08-05T11:07:41.692716,
9,2020-08-06T09:00:00,false,Data Scientist,2021-06-02T15:30:25.284043,
41,2021-06-04T15:03:00,false,Data Engineering opportunity in Ghana,2021-07-30T11:28:55.955366,
8,2020-08-06T09:00:00,false,Data Scientist,2021-06-02T15:30:25.169586,
6,2021-05-03T20:14:00,false,Senior Data Engineer,2021-08-05T11:07:28.711686,
7,2020-08-06T09:00:00,false,Principal Data Scientist,2021-06-02T15:30:25.140399,
10,2020-12-01T10:15:00,false,Data Analyst Intern,2021-06-02T15:30:25.390151,
18,2020-10-09T14:00:00,false,Software Engineer,2021-06-02T15:30:25.61555,
42,2021-06-04T15:30:00,false,Data Scientist opportunity in Ghana,2021-07-21T10:18:14.063051,
19,2020-10-13T14:15:00,false,Chief Technology Officer,2021-06-02T15:30:25.636927,
62,2021-11-13T08:00:00,false,International non-profit organization looking for Senior Data Scientist,2022-06-23T07:19:02.325688,
